Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
128,00:00:04.238,7.011962890625,12.091471354166666,11.497368706597221,2.99169921875,6.546820746527778
129,00:00:04.271,6.958812572337963,12.693277994791666,11.168402777777779,2.9353569878472223,6.772677951388889
130,00:00:04.304,9.345856843171296,15.930582682291666,14.595269097222221,4.726643880208333,8.715657552083334
131,00:00:04.338,8.90406177662037,15.460205078125,14.97580295138889,3.1910807291666665,8.545301649305555
132,00:00:04.371,14.838623046875,16.594645182291668,26.536702473958332,3.974338107638889,14.004828559027779
133,00:00:04.404,6.5436017071759265,13.080647786458334,10.623914930555555,2.9083387586805554,6.098551432291667
134,00:00:04.438,6.579029224537038,13.876139322916666,10.508382161458334,2.8502875434027777,6.37841796875
135,00:00:04.471,6.043339482060186,12.527262369791666,9.376329210069445,2.7179090711805554,6.035780164930555
136,00:00:04.505,6.497522424768518,13.32275390625,10.565077039930555,2.673312717013889,6.254177517361111
137,00:00:04.538,7.031792534722221,12.693277994791666,11.46365017361111,2.69580078125,6.935926649305555
138,00:00:04.571,8.46780056423611,14.270426432291666,14.342041015625,2.7974175347222223,8.26394314236111
139,00:00:04.605,6.345241970486111,11.302897135416666,10.062934027777779,2.5659722222222223,6.406819661458333
140,00:00:04.638,6.5788393373842595,11.738688151041666,10.470865885416666,2.5465766059027777,6.719075520833333
141,00:00:04.671,6.31397388599537,13.578694661458334,10.175889756944445,2.4482421875,6.317789713541667
142,00:00:04.705,6.326777705439816,11.012369791666666,10.27658420138889,2.415988498263889,6.287760416666667
143,00:00:04.738,6.817455150462963,12.935384114583334,11.21072048611111,2.4449869791666665,6.796657986111111
144,00:00:04.771,6.601526331018519,14.630126953125,10.91965060763889,2.3529730902777777,6.531955295138889
145,00:00:04.805,6.342701099537037,12.921549479166666,10.495985243055555,2.2609049479166665,6.271213107638889
146,00:00:04.838,8.131881148726853,16.6015625,14.182779947916666,2.4581163194444446,7.754747178819445
147,00:00:04.872,7.238489221643519,16.041259765625,12.190999348958334,2.273681640625,7.250786675347222
